Team,Time,Type,Puzzle,Submission,Response
Mofu,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Mofu,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Mofu,2020-02-01 10:00:00,unlock,applejacks-game,,
Mofu,2020-02-01 10:00:00,unlock,its-a-long-story,,
Mofu,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Mofu,2020-02-01 10:00:00,unlock,flying-high,,
dankdong,2020-02-01 10:00:00,unlock,art-of-the-dress,,
dankdong,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
dankdong,2020-02-01 10:00:00,unlock,applejacks-game,,
dankdong,2020-02-01 10:00:00,unlock,its-a-long-story,,
dankdong,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
dankdong,2020-02-01 10:00:00,unlock,flying-high,,
floopyfly,2020-02-01 10:00:00,unlock,art-of-the-dress,,
floopyfly,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
floopyfly,2020-02-01 10:00:00,unlock,applejacks-game,,
floopyfly,2020-02-01 10:00:00,unlock,its-a-long-story,,
floopyfly,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
floopyfly,2020-02-01 10:00:00,unlock,flying-high,,
nat20s,2020-02-01 10:00:00,unlock,art-of-the-dress,,
nat20s,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
nat20s,2020-02-01 10:00:00,unlock,applejacks-game,,
nat20s,2020-02-01 10:00:00,unlock,its-a-long-story,,
nat20s,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
nat20s,2020-02-01 10:00:00,unlock,flying-high,,
totoros,2020-02-01 10:00:00,unlock,art-of-the-dress,,
totoros,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
totoros,2020-02-01 10:00:00,unlock,applejacks-game,,
totoros,2020-02-01 10:00:00,unlock,its-a-long-story,,
totoros,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
totoros,2020-02-01 10:00:00,unlock,flying-high,,
callie,2020-02-01 10:00:00,unlock,art-of-the-dress,,
callie,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
callie,2020-02-01 10:00:00,unlock,applejacks-game,,
callie,2020-02-01 10:00:00,unlock,its-a-long-story,,
callie,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
callie,2020-02-01 10:00:00,unlock,flying-high,,
